employee_id,tasks_completed,average_task_quality,projects_led,client_satisfaction_score,hours_worked,deadline_met_score,innovation_score,efficiency_score,meetings_attended,collaboration_score,punctuality_score,training_hours_completed,work_engagement_score,peer_interaction_score,initiative_score,task_followup_score,speech_sentiment_score,speech_energy_level,speech_clarity_score,tone_consistency_score,speaking_speed,pause_frequency,pitch_variation,volume_stability_score,performance_rating
1001,42,5,1,94,41,7,4,5,8,8,6,13.2,5,7,9,9,0.54,6,7,7,109,4,5,5,Medium
1002,33,6,3,98,44,7,10,8,16,10,7,14.3,6,10,6,9,0.77,7,6,8,144,2,8,8,High
1003,47,8,5,89,53,7,7,10,18,9,7,13.0,10,6,7,10,0.92,9,6,9,178,3,8,10,High
1004,31,9,3,70,35,9,6,6,11,8,8,15.7,8,7,4,9,-0.35,7,2,4,93,6,5,5,Medium
1005,36,2,1,55,33,6,6,6,7,6,3,11.8,6,2,5,6,-0.34,6,4,2,78,8,1,5,Low
1006,33,6,2,57,33,5,4,6,7,5,7,10.8,5,3,6,4,0.08,4,6,4,94,8,4,5,Low
1007,29,3,2,43,35,2,6,6,8,3,6,6.1,4,6,3,2,-0.5,8,3,3,107,10,2,1,Low
1008,51,10,0,91,31,9,7,10,22,8,8,20.8,10,10,7,10,0.65,10,7,7,141,1,10,9,High
1009,44,8,1,57,35,8,6,4,13,5,5,7.6,7,4,7,5,0.31,6,5,5,129,4,9,7,Medium
1010,51,9,1,85,43,9,8,7,18,7,9,14.9,8,7,6,8,0.83,9,7,6,140,0,6,9,High
1011,30,6,1,51,44,4,5,2,9,4,5,6.3,1,3,4,5,-0.15,2,9,5,81,9,4,6,Low
1012,51,8,2,86,39,10,10,9,14,8,7,19.4,7,8,6,9,0.47,9,9,7,138,0,7,10,High
1013,56,8,1,97,47,5,8,9,16,8,8,17.2,10,8,10,7,0.85,9,9,8,124,2,8,10,High
1014,44,5,1,72,39,6,6,7,13,7,9,12.8,7,8,7,6,0.05,7,6,7,72,6,4,5,Medium
1015,25,5,4,43,27,6,3,4,7,3,6,9.7,2,3,3,1,-0.16,3,3,3,94,9,5,3,Low
1016,31,5,1,47,37,4,2,8,6,3,5,5.3,5,3,5,4,-0.24,2,5,3,94,9,5,2,Low
